source_file	organism_name
mammalian.txt	Ornithorhynchus anatinus
mammalian.txt	Tachyglossus aculeatus
mammalian.txt	Sminthopsis crassicaudata
mammalian.txt	Sarcophilus harrisii
mammalian.txt	Notamacropus eugenii
mammalian.txt	Trichosurus vulpecula
mammalian.txt	Dasypus novemcinctus
mammalian.txt	Erinaceus europaeus
mammalian.txt	Echinops telfairi
mammalian.txt	Pteropus alecto
mammalian.txt	Rousettus aegyptiacus
mammalian.txt	Artibeus jamaicensis
mammalian.txt	Phyllostomus hastatus
mammalian.txt	Desmodus rotundus
mammalian.txt	Lemur catta
mammalian.txt	Nycticebus coucang
mammalian.txt	Callithrix jacchus
mammalian.txt	Sapajus apella
mammalian.txt	Cercocebus atys
mammalian.txt	Macaca fascicularis
mammalian.txt	Macaca mulatta
mammalian.txt	Macaca nemestrina
mammalian.txt	Papio anubis
mammalian.txt	Theropithecus gelada
mammalian.txt	Mandrillus leucophaeus
mammalian.txt	Symphalangus syndactylus
mammalian.txt	Gorilla gorilla gorilla
mammalian.txt	Pan paniscus
mammalian.txt	Pan troglodytes
mammalian.txt	Pongo pygmaeus
mammalian.txt	Pongo abelii
mammalian.txt	Homo sapiens
mammalian.txt	Homo sapiens
mammalian.txt	Canis lupus familiaris
mammalian.txt	Canis lupus familiaris
mammalian.txt	Canis lupus familiaris
mammalian.txt	Vulpes vulpes
mammalian.txt	Ursus americanus
mammalian.txt	Ursus arctos
mammalian.txt	Ailuropoda melanoleuca
mammalian.txt	Lutra lutra
mammalian.txt	Meles meles
mammalian.txt	Mustela lutreola
mammalian.txt	Mustela putorius furo
mammalian.txt	Felis catus
mammalian.txt	Panthera leo
mammalian.txt	Panthera onca
mammalian.txt	Panthera pardus
mammalian.txt	Panthera tigris
mammalian.txt	Puma concolor
mammalian.txt	Zalophus californianus
mammalian.txt	Odobenus rosmarus divergens
mammalian.txt	Halichoerus grypus
mammalian.txt	Leptonychotes weddellii
mammalian.txt	Mirounga leonina
mammalian.txt	Mirounga angustirostris
mammalian.txt	Phoca vitulina
mammalian.txt	Delphinus delphis
mammalian.txt	Globicephala melas
mammalian.txt	Orcinus orca
mammalian.txt	Tursiops truncatus
mammalian.txt	Phocoena phocoena
mammalian.txt	Delphinapterus leucas
mammalian.txt	Physeter macrocephalus
mammalian.txt	Eschrichtius robustus
mammalian.txt	Balaenoptera acutorostrata
mammalian.txt	Balaenoptera musculus
mammalian.txt	Loxodonta africana
mammalian.txt	Equus asinus
mammalian.txt	Equus caballus
mammalian.txt	Equus przewalskii
mammalian.txt	Sus scrofa
mammalian.txt	Camelus bactrianus
mammalian.txt	Camelus dromedarius
mammalian.txt	Cervus elaphus
mammalian.txt	Odocoileus virginianus
mammalian.txt	Muntiacus reevesi
mammalian.txt	Bos javanicus
mammalian.txt	Bos taurus
mammalian.txt	Bos indicus
mammalian.txt	Capra hircus
mammalian.txt	Ovis aries
mammalian.txt	Manis javanica
mammalian.txt	Ochotona princeps
mammalian.txt	Lepus europaeus
mammalian.txt	Oryctolagus cuniculus
mammalian.txt	Marmota marmota marmota
mammalian.txt	Marmota monax
mammalian.txt	Urocitellus parryii
mammalian.txt	Dipodomys ordii
mammalian.txt	Cricetulus griseus
mammalian.txt	Cricetulus griseus
mammalian.txt	Mesocricetus auratus
mammalian.txt	Peromyscus leucopus
mammalian.txt	Meriones unguiculatus
mammalian.txt	Microtus pennsylvanicus
mammalian.txt	Mus caroli
mammalian.txt	Mus musculus
mammalian.txt	Mus pahari
mammalian.txt	Rattus norvegicus
mammalian.txt	Rattus rattus
mammalian.txt	Apodemus sylvaticus
mammalian.txt	Cavia porcellus
mammalian.txt	Octodon degus
mammalian.txt	Heterocephalus glaber
mammalian.txt	Monodelphis domestica
mammalian.txt	Eubalaena glacialis
mammalian.txt	Lagenorhynchus albirostris
mammalian.txt	Kogia breviceps
mammalian.txt	Molossus molossus
mammalian.txt	Choloepus didactylus
mammalian.txt	Saimiri boliviensis
mammalian.txt	Elephantulus edwardii
mammalian.txt	Panthera uncia
mammalian.txt	Ursus maritimus
mammalian.txt	Eptesicus fuscus
mammalian.txt	Neomonachus schauinslandi
mammalian.txt	Vombatus ursinus
mammalian.txt	Bos indicus x Bos taurus
mammalian.txt	Dama dama
mammalian.txt	Vicugna pacos
mammalian.txt	Microcebus murinus
mammalian.txt	Otolemur garnettii
mammalian.txt	Sciurus carolinensis
mammalian.txt	Acinonyx jubatus
mammalian.txt	Dromiciops gliroides
mammalian.txt	Chinchilla lanigera
mammalian.txt	Capricornis sumatraensis
mammalian.txt	Nyctereutes procyonoides
mammalian.txt	Callorhinus ursinus
mammalian.txt	Eumetopias jubatus
mammalian.txt	Mastomys coucha
mammalian.txt	Mustela erminea
mammalian.txt	Prionailurus bengalensis
mammalian.txt	Suricata suricatta
mammalian.txt	Ovis canadensis
mammalian.txt	Budorcas taxicolor
mammalian.txt	Aotus nancymaae
mammalian.txt	Phascolarctos cinereus
mammalian.txt	Onychomys torridus
mammalian.txt	Antechinus flavipes
mammalian.txt	Monodon monoceros
mammalian.txt	Phacochoerus africanus
mammalian.txt	Phocoena sinus
mammalian.txt	Sorex araneus
mammalian.txt	Peromyscus eremicus
mammalian.txt	Ictidomys tridecemlineatus
mammalian.txt	Bison bison bison
mammalian.txt	Leopardus geoffroyi
